DATE,STIOLD
1989-02-09,964.24
1989-02-10,971.58
1989-02-13,959.95
1989-02-14,940.18
1989-02-15,945.49
1989-02-16,952.95
1989-02-17,949.77
1989-02-20,951.97
1989-02-21,952.54
1989-02-22,959.97
1989-02-23,960.92
1989-02-24,962.94
1989-02-27,951.63
1989-02-28,937.85
1989-03-01,930.93
1989-03-02,927.13
1989-03-03,943.07
1989-03-06,926.88
1989-03-07,938.38
1989-03-08,947.08
1989-03-09,955.15
1989-03-10,958.07
1989-03-13,965.49
1989-03-14,970.7
1989-03-15,983.71
1989-03-16,987.05
1989-03-17,988.98
1989-03-20,973.48
1989-03-21,975.87
1989-03-22,981.58
1989-03-23,981.25
1989-03-27,985.51
1989-03-28,989.51
1989-03-29,991.32
1989-03-30,988.74
1989-03-31,986.06
1989-04-03,976.72
1989-04-04,979.42
1989-04-05,982.01
1989-04-06,981.41
1989-04-07,975.61
1989-04-10,973.58
1989-04-11,977.08
1989-04-12,999.98
1989-04-13,1020.5
1989-04-14,1029.63
1989-04-17,1045.97
1989-04-18,1041.35
1989-04-19,1035.9
1989-04-20,1030.37
1989-04-21,1018.89
1989-04-24,1024.63
1989-04-25,1020.26
1989-04-26,1031.52
1989-04-27,1037.45
1989-04-28,1042.63
1989-05-02,1055.22
1989-05-03,1073.44
1989-05-04,1079.85
1989-05-05,1079.53
1989-05-09,1078.04
1989-05-10,1079.8
1989-05-11,1078.83
1989-05-12,1077.93
1989-05-15,1090.94
1989-05-16,1104.06
1989-05-17,1105.81
1989-05-18,1103.9
1989-05-22,1084.19
1989-05-23,1089.04
1989-05-24,1075.98
1989-05-25,1058.95
1989-05-26,1073.01
1989-05-29,1075.44
1989-05-30,1083.14
1989-05-31,1079.99
1989-06-01,1097.94
1989-06-02,1106.74
1989-06-05,1077.96
1989-06-06,1044.77
1989-06-07,1035.63
1989-06-08,1018.25
1989-06-09,1045.75
1989-06-12,1083.43
1989-06-13,1084.32
1989-06-14,1093.68
1989-06-15,1085.43
1989-06-16,1095.13
1989-06-19,1099.4
1989-06-20,1103.05
1989-06-21,1103.57
1989-06-22,1094.89
1989-06-23,1092.32
1989-06-26,1091.16
1989-06-27,1098.2
1989-06-28,1107.26
1989-06-29,1110.75
1989-06-30,1104.44
1989-07-03,1096.6
1989-07-04,1098.06
1989-07-05,1097.01
1989-07-06,1113.89
1989-07-07,1126.95
1989-07-10,1135.99
1989-07-11,1142.82
1989-07-12,1156.88
1989-07-14,1174.85
1989-07-17,1167.1
1989-07-18,1165.81
1989-07-19,1167.9
1989-07-20,1160.18
1989-07-21,1152.01
1989-07-24,1150.96
1989-07-25,1161.96
1989-07-26,1163.26
1989-07-27,1160.13
1989-07-28,1164.07
1989-07-31,1167.17
1989-08-01,1157.57
1989-08-02,1152.79
1989-08-03,1148.66
1989-08-04,1136.2
1989-08-07,1143.08
1989-08-08,1152.7
1989-08-10,1163.52
1989-08-11,1163.55
1989-08-14,1162.2
1989-08-15,1158.71
1989-08-16,1158.02
1989-08-17,1154.15
1989-08-18,1146.43
1989-08-21,1149.24
1989-08-22,1141.73
1989-08-23,1138.35
1989-08-24,1123.18
1989-08-25,1122.77
1989-08-28,1113.51
1989-08-29,1115.99
1989-08-30,1123.02
1989-08-31,1125.71
1989-09-01,1126.94
1989-09-04,1136.49
1989-09-05,1149.16
1989-09-06,1157.09
1989-09-07,1160.18
1989-09-08,1165.36
1989-09-11,1158.82
1989-09-12,1153.32
1989-09-13,1154.86
1989-09-14,1142.13
1989-09-15,1145.12
1989-09-18,1139.78
1989-09-19,1137.57
1989-09-20,1130.83
1989-09-21,1146.57
1989-09-22,1140.77
1989-09-25,1130.89
1989-09-26,1128.17
1989-09-27,1118.95
1989-09-28,1113.87
1989-09-29,1114.55
1989-10-02,1109.06
1989-10-03,1120.86
1989-10-04,1137.96
1989-10-05,1137.31
1989-10-06,1143.14
1989-10-09,1151.69
1989-10-10,1155.66
1989-10-11,1158.78
1989-10-12,1156.08
1989-10-13,1154.13
1989-10-16,1042.14
1989-10-17,1093.22
1989-10-18,1065.82
1989-10-19,1089.28
1989-10-20,1088.01
